Date of Census,Total Individuals in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter
03/24/2014,52407,10430,10804,1881
03/23/2014,52389,10348,10825,1884
03/22/2014,52162,10202,10800,1880
03/21/2014,52152,10233,10796,1873
03/20/2014,52270,10387,10784,1866
03/19/2014,52299,10419,10778,1879
03/18/2014,52232,10360,10788,1870
03/17/2014,52293,10389,10786,1879
03/16/2014,52253,10337,10794,1874
03/15/2014,52011,10181,10773,1868
03/14/2014,52071,10188,10781,1881
03/13/2014,52147,10318,10767,1872
03/12/2014,52147,10332,10761,1872
03/11/2014,52010,10239,10741,1874
03/10/2014,52157,10309,10748,1884
03/09/2014,52211,10233,10787,1893
03/08/2014,52031,10163,10753,1885
03/07/2014,52070,10209,10743,1900
03/05/2014,52128,10311,10729,1896
03/04/2014,52118,10278,10739,1893
03/03/2014,52271,10275,10776,1893
03/02/2014,52295,10239,10796,1895
03/01/2014,52167,10135,10778,1906
02/28/2014,52184,10215,10766,1894
02/27/2014,52354,10357,10771,1899
02/26/2014,52338,10382,10758,1895
02/25/2014,52261,10404,10738,1894
02/24/2014,52301,10375,10754,1901
02/23/2014,52249,10292,10771,1902
02/22/2014,52074,10224,10744,1895
02/21/2014,52093,10266,10732,1898
02/20/2014,52171,10378,10731,1889
02/19/2014,52261,10388,10743,1907
02/18/2014,52325,10398,10764,1910
02/17/2014,52270,10397,10754,1904
02/16/2014,52165,10340,10740,1900
02/15/2014,52069,10263,10738,1896
02/14/2014,52153,10259,10763,1908
02/13/2014,52319,10374,10770,1913
02/12/2014,52137,10364,10725,1897
02/11/2014,52166,10392,10722,1906
02/10/2014,52164,10346,10734,1911
02/09/2014,52084,10276,10730,1917
02/08/2014,51992,10163,10742,1911
02/07/2014,52162,10192,10774,1919
02/06/2014,52199,10274,10767,1914
02/05/2014,52137,10266,10760,1902
02/04/2014,52077,10233,10759,1895
02/03/2014,51943,10211,10727,1881
02/02/2014,51724,10114,10692,1875
02/01/2014,51668,10099,10684,1872
01/31/2014,51909,10111,10744,1891
01/30/2014,52231,10343,10772,1902
01/29/2014,52247,10394,10767,1897
01/28/2014,52178,10362,10752,1899
01/27/2014,52168,10359,10740,1903
01/26/2014,52121,10344,10737,1904
01/25/2014,51927,10282,10698,1893
01/24/2014,51907,10309,10685,1897
01/23/2014,51882,10361,10666,1898
01/22/2014,51809,10309,10669,1888
01/21/2014,51649,10272,10627,1888
01/20/2014,51585,10244,10627,1881
01/19/2014,51472,10168,10624,1877
01/18/2014,51319,10123,10591,1871
01/17/2014,51371,10086,10609,1876
01/16/2014,51413,10157,10605,1870
01/15/2014,51344,10144,10591,1867
01/14/2014,51227,10142,10559,1870
01/13/2014,51345,10122,10598,1881
01/12/2014,51261,10113,10584,1872
01/11/2014,51054,10026,10543,1865
01/10/2014,51125,10047,10549,1864
01/09/2014,51352,10103,10586,1892
01/08/2014,51319,10151,10567,1878
01/07/2014,51082,10207,10487,1874
01/06/2014,50910,10103,10462,1874
01/05/2014,50957,10078,10502,1874
01/04/2014,50957,10004,10520,1877
01/03/2014,50954,10001,10521,1872
01/02/2014,50797,9950,10484,1871
01/01/2014,50689,9919,10469,1866
12/31/2013,50370,9618,10458,1867
12/30/2013,50927,10021,10500,1871
12/29/2013,50994,10038,10516,1873
12/28/2013,50787,9921,10494,1864
12/27/2013,50861,9959,10508,1865
12/26/2013,51013,10003,10547,1868
12/25/2013,50965,9942,10556,1866
12/24/2013,50818,9872,10532,1863
12/23/2013,51082,10011,10561,1878
12/22/2013,50992,9965,10565,1865
12/21/2013,50851,9901,10542,1867
12/20/2013,50871,9924,10537,1866
12/18/2013,51151,10150,10552,1873
12/17/2013,51183,10169,10562,1866
12/16/2013,51215,10167,10564,1872
12/15/2013,51152,10104,10575,1861
12/14/2013,51020,10027,10560,1864
12/13/2013,51073,10010,10570,1877
12/12/2013,51203,10110,10578,1878
12/11/2013,51174,10089,10565,1883
12/10/2013,51156,10129,10545,1883
12/09/2013,51314,10109,10588,1887
12/08/2013,51237,10097,10576,1881
12/07/2013,50999,9983,10546,1871
12/06/2013,50926,9928,10543,1866
12/05/2013,50971,9928,10551,1872
12/04/2013,50909,9946,10524,1868
12/03/2013,50929,9977,10526,1868
12/02/2013,51093,10002,10559,1874
12/01/2013,51218,9986,10599,1885
11/30/2013,51031,9829,10593,1874
11/29/2013,50976,9794,10597,1873
11/28/2013,51076,9827,10606,1878
11/27/2013,51283,10019,10616,1882
11/26/2013,51346,10087,10614,1875
11/25/2013,51489,10075,10648,1882
11/24/2013,51422,10052,10638,1882
11/23/2013,51198,9928,10612,1882
11/22/2013,51214,9898,10623,1882
11/21/2013,51380,10017,10633,1885
11/20/2013,51377,10041,10622,1879
11/19/2013,51383,10025,10626,1887
11/18/2013,51376,10005,10632,1882
11/14/2013,51185,10011,10587,1879
11/13/2013,51110,10038,10561,1879
11/12/2013,51236,10080,10572,1885
11/11/2013,51166,10005,10585,1879
11/10/2013,51066,9941,10581,1879
11/09/2013,50918,9834,10564,1873
11/08/2013,50960,9895,10559,1876
11/07/2013,51028,9983,10562,1872
11/06/2013,50985,9995,10547,1875
11/05/2013,50941,9989,10551,1863
11/04/2013,50912,9954,10555,1858
11/03/2013,50881,9889,10571,1854
11/02/2013,50658,9735,10548,1857
11/01/2013,50733,9736,10570,1864
10/31/2013,51061,9995,10582,1872
10/30/2013,51163,10077,10589,1869
10/29/2013,51222,10129,10598,1866
10/28/2013,51263,10126,10613,1870
10/27/2013,51262,10143,10623,1863
10/26/2013,51055,10034,10592,1860
10/25/2013,51012,10034,10574,1855
10/24/2013,51153,10149,10587,1858
10/23/2013,51052,10159,10554,1849
10/22/2013,50994,10106,10549,1842
10/21/2013,51062,10073,10573,1856
10/20/2013,51059,10073,10568,1863
10/19/2013,50816,9954,10534,1858
10/18/2013,50732,9899,10519,1859
10/17/2013,50762,9990,10510,1849
10/16/2013,50772,9986,10513,1856
10/15/2013,50892,10009,10542,1861
10/14/2013,50962,9999,10558,1869
10/13/2013,50865,9909,10556,1869
10/12/2013,50593,9786,10520,1861
10/11/2013,50674,9829,10534,1851
10/10/2013,50728,9878,10536,1852
10/09/2013,50686,9920,10512,1850
10/08/2013,50602,9887,10494,1846
10/07/2013,50637,9859,10517,1849
10/06/2013,50581,9777,10531,1847
10/05/2013,50324,9678,10483,1839
10/04/2013,50339,9671,10488,1842
10/02/2013,50351,9754,10469,1845
10/01/2013,50315,9813,10438,1838
09/30/2013,50646,10017,10471,1843
09/29/2013,50595,9988,10480,1837
09/28/2013,50434,9896,10462,1829
09/27/2013,50486,9924,10465,1838
09/26/2013,50692,10058,10483,1836
09/25/2013,50584,10082,10453,1832
09/24/2013,50525,10087,10440,1828
09/23/2013,50608,10081,10465,1830
09/22/2013,50461,10004,10457,1822
09/21/2013,50282,9927,10426,1816
09/20/2013,50378,9936,10453,1817
09/19/2013,50414,9955,10455,1824
09/18/2013,50450,10060,10435,1816
09/17/2013,50452,10015,10439,1819
09/16/2013,50526,9995,10455,1836
09/15/2013,50540,9995,10471,1819
09/14/2013,50250,9850,10428,1816
09/13/2013,50218,9849,10417,1825
09/12/2013,50240,9874,10423,1824
09/11/2013,50151,9895,10387,1829
09/10/2013,50149,9890,10394,1826
09/09/2013,50123,9889,10384,1823
09/08/2013,49957,9744,10377,1824
09/07/2013,49912,9787,10354,1821
09/06/2013,49747,9811,10306,1811
09/04/2013,49751,9851,10303,1811
09/02/2013,49781,9801,10319,1823
09/01/2013,49662,9669,10326,1822
08/31/2013,49462,9610,10287,1815
08/30/2013,49525,9685,10281,1811
08/29/2013,49808,9860,10316,1807
08/28/2013,49753,9950,10284,1803
08/27/2013,49736,9922,10277,1813
08/26/2013,49877,9956,10307,1809
08/25/2013,49858,9934,10324,1804
08/24/2013,49617,9800,10291,1801
08/23/2013,49548,9820,10266,1802
08/22/2013,49690,9917,10274,1803
08/21/2013,49673,9941,10261,1796
07/18/2023,81946,21650,16489,2904
07/19/2023,82006,21689,16491,2916
07/20/2023,82116,21737,16513,2925
07/21/2023,82121,21714,16527,2910
07/22/2023,82086,21604,16544,2912
07/23/2023,82070,21681,16522,2904
07/24/2023,82245,21803,16544,2906
07/25/2023,82160,21706,16564,2895
07/26/2023,82141,21718,16559,2899
07/27/2023,82295,21819,16587,2891
07/28/2023,82216,21681,16595,2903
07/29/2023,82275,21662,16635,2900
07/30/2023,82241,21628,16638,2886
07/31/2023,82228,21723,16643,2835
08/01/2023,82207,21720,16671,2784
08/02/2023,82100,21663,16683,2757
08/03/2023,82132,21573,16716,2747
08/04/2023,82044,21423,16739,2738
08/05/2023,82029,21357,16776,2722
08/06/2023,82042,21326,16781,2723
08/07/2023,82186,21351,16820,2717
08/08/2023,82620,21516,16893,2710
08/09/2023,82722,21502,16929,2694
08/10/2023,82706,21493,16915,2688
08/11/2023,82674,21534,16902,2684
08/12/2023,83045,21481,17026,2687
08/13/2023,83159,21419,17075,2688
08/14/2023,83331,21513,17090,2689
08/15/2023,83260,21538,17078,2675
08/16/2023,83254,21366,17132,2670
08/17/2023,82973,21188,17094,2669
08/18/2023,82740,20952,17100,2657
08/19/2023,82783,20813,17160,2645
08/20/2023,82861,20663,17219,2645
08/21/2023,82846,20364,17293,2668
08/22/2023,82803,20192,17334,2665
08/23/2023,82953,20338,17365,2628
08/24/2023,83136,20363,17395,2638
08/25/2023,82608,20144,17464,2389
08/26/2023,82632,20247,17465,2347
08/27/2023,82710,20236,17495,2335
08/28/2023,82876,20210,17549,2348
08/29/2023,82824,20111,17605,2279
08/30/2023,82898,20068,17665,2269
08/31/2023,82875,20038,17693,2234
09/01/2023,82929,19910,17753,2227
09/02/2023,82899,19841,17777,2214
09/03/2023,83114,19930,17816,2203
09/05/2023,83172,19891,17833,2229
09/04/2023,82986,19804,17810,2229
09/06/2023,83272,19744,17937,2206
09/07/2023,83383,19770,17960,2211
09/08/2023,83588,19812,18020,2198
09/09/2023,83579,19725,18034,2203
09/10/2023,83811,19695,18140,2167
09/11/2023,83804,19768,18112,2172
09/12/2023,84080,19870,18160,2177
09/13/2023,84109,19849,18183,2174
09/14/2023,84284,19899,18232,2171
09/15/2023,84303,19760,18280,2180
09/16/2023,84336,19758,18299,2159
09/19/2023,84362,19736,18318,2159
09/18/2023,84234,19736,18282,2156
09/17/2023,84308,19735,18312,2153
09/19/2023,84362,19736,18318,2159
09/18/2023,84234,19736,18282,2156
09/17/2023,84308,19735,18312,2153
09/20/2023,84500,19702,18360,2164
09/21/2023,84659,19769,18399,2160
09/22/2023,84598,19654,18416,2160
09/23/2023,84725,19746,18439,2146
09/24/2023,84938,19821,18484,2150
09/25/2023,84837,19900,18413,2165
09/26/2023,85094,19861,18501,2172
09/27/2023,85240,19920,18542,2162
09/28/2023,85247,19887,18555,2167
09/29/2023,85082,19772,18536,2164
09/30/2023,85108,19735,18565,2154
10/01/2023,85042,19664,18559,2146
10/02/2023,85170,19700,18570,2150
10/03/2023,85178,19676,18578,2158
10/04/2023,85268,19679,18615,2144
10/05/2023,85426,19712,18661,2155
10/06/2023,85407,19608,18684,2156
10/07/2023,85617,19577,18753,2156
10/08/2023,85561,19608,18730,2154
10/09/2023,85964,19698,18824,2157
10/10/2023,86004,19705,18808,2197
10/11/2023,85970,19654,18834,2195
10/12/2023,86144,19802,18840,2198
10/13/2023,86218,19803,18864,2194
10/14/2023,86600,20024,18909,2188
10/15/2023,86779,20131,18939,2178
10/16/2023,86883,20042,19003,2190
10/17/2023,86951,20110,18986,2205
10/18/2023,87059,20266,18942,2231
10/19/2023,87272,20270,18995,2252
10/20/2023,87345,20192,19039,2270
10/21/2023,87657,20207,19104,2290
10/22/2023,87854,20381,19113,2292
10/23/2023,87920,20475,19102,2299
10/24/2023,87918,20538,19088,2294
10/25/2023,87860,20463,19091,2296
10/26/2023,87962,20506,19096,2300
10/27/2023,88022,20497,19114,2304
10/28/2023,88205,20530,19155,2310
10/29/2023,88519,20684,19198,2319
10/30/2023,88708,20771,19222,2327
10/31/2023,88665,20805,19205,2317
11/01/2023,88742,20835,19227,2316
11/02/2023,88753,20863,19217,2319
11/03/2023,88724,20814,19218,2316
11/04/2023,88778,20830,19235,2313
11/05/2023,88810,20848,19243,2317
11/06/2023,89051,20926,19272,2335
11/07/2023,88993,20921,19265,2316
11/08/2023,89019,20857,19302,2309
11/09/2023,89048,20883,19300,2299
11/10/2023,89001,20848,19292,2294
11/11/2023,89226,20900,19354,2289
11/12/2023,89253,20897,19354,2293
11/13/2023,89441,21005,19381,2305
11/14/2023,89371,21014,19368,2301
11/15/2023,89207,20936,19342,2287
11/16/2023,89241,20924,19345,2298
11/17/2023,89104,20833,19332,2287
11/18/2023,89126,20832,19352,2277
11/19/2023,89098,20871,19332,2270
11/20/2023,89260,20988,19334,2286
11/21/2023,89246,20981,19336,2284
11/22/2023,89224,20926,19347,2283
11/23/2023,89344,20940,19376,2288
11/24/2023,89310,20968,19365,2278
11/25/2023,89365,21019,19385,2270
11/26/2023,89218,21047,19329,2259
11/27/2023,89218,21089,19309,2271
11/28/2023,89219,21151,19301,2258
11/29/2023,89205,21091,19316,2270
11/30/2023,89296,21152,19320,2267
12/01/2023,89260,21138,19331,2260
12/02/2023,89355,21105,19377,2251
12/03/2023,89431,21130,19398,2245
12/04/2023,89441,21145,19389,2252
12/05/2023,89321,21209,19350,2239
12/06/2023,89437,21305,19352,2245
12/07/2023,89393,21331,19347,2233
12/08/2023,89344,21247,19348,2241
12/09/2023,89421,21226,19376,2238
12/10/2023,89558,21330,19393,2236
12/11/2023,89460,21345,19363,2233
12/12/2023,89508,21366,19369,2241
12/13/2023,89399,21237,19372,2240
12/14/2023,89190,21116,19358,2240
12/15/2023,89154,21114,19355,2243
12/16/2023,89121,21034,19360,2237
12/17/2023,89167,21052,19380,2232
12/18/2023,89192,21050,19392,2226
12/19/2023,89263,21148,19384,2225
12/20/2023,89105,21034,19356,2227
12/21/2023,88924,20907,19340,2211
12/22/2023,88640,20760,19302,2216
12/23/2023,88554,20710,19302,2212
12/24/2023,88522,20671,19304,2220
12/25/2023,88571,20680,19313,2234
12/26/2023,88502,20668,19291,2247
12/27/2023,88721,20690,19358,2245
12/28/2023,88682,20759,19316,2247
12/29/2023,88619,20615,19333,2251
12/30/2023,88805,20609,19383,2247
12/31/2023,88774,20440,19423,2253
01/01/2024,88934,20359,19492,2274
01/02/2024,89159,20644,19485,2260
01/03/2024,88981,20554,19472,2253
01/04/2024,88889,20520,19452,2255
01/05/2024,88925,20475,19483,2258
01/06/2024,88919,20449,19496,2259
01/07/2024,89165,20553,19546,2271
01/08/2024,89129,20455,19554,2275
01/09/2024,89182,20366,19590,2282
01/10/2024,89402,20557,19602,2277
01/11/2024,89468,20569,19620,2284
01/12/2024,89348,20429,19627,2278
01/13/2024,89230,20419,19596,2283
01/14/2024,89448,20467,19641,2285
01/15/2024,89351,20472,19611,2275
01/16/2024,89324,20462,19590,2289
01/17/2024,89163,20354,19579,2292
01/18/2024,89179,20430,19556,2286
01/19/2024,88996,20272,19543,2283
01/20/2024,88997,20312,19518,2293
01/21/2024,89023,20307,19527,2295
01/22/2024,89034,20273,19523,2306
01/23/2024,89041,20322,19524,2298
01/24/2024,89120,20362,19536,2305
01/25/2024,89090,20386,19525,2291
01/26/2024,88981,20313,19526,2281
01/27/2024,88981,20319,19523,2283
01/28/2024,89000,20356,19513,2281
01/29/2024,89111,20474,19505,2286
01/30/2024,89145,20566,19489,2287
01/31/2024,88964,20549,19439,2280
02/01/2024,89186,20467,19508,2288
02/02/2024,89135,20416,19506,2292
02/03/2024,89167,20386,19533,2293
02/04/2024,89018,20399,19480,2282
02/05/2024,89087,20522,19448,2292
02/06/2024,89157,20581,19461,2286
02/07/2024,88998,20529,19420,2299
02/08/2024,88721,20386,19372,2301
02/09/2024,88652,20276,19398,2285
02/10/2024,88488,20234,19357,2286
02/11/2024,88437,20173,19370,2277
02/12/2024,88287,20155,19322,2286
02/13/2024,88341,20211,19309,2299
02/14/2024,88242,20179,19286,2289
02/15/2024,88259,20252,19258,2291
02/16/2024,88097,20157,19243,2283
02/17/2024,88004,20160,19215,2279
02/18/2024,87986,20074,19244,2273
02/19/2024,87857,20026,19221,2275
02/20/2024,87859,20020,19220,2283
02/21/2024,87731,19986,19199,2268
02/22/2024,87627,20005,19165,2272
02/23/2024,87507,19972,19148,2260
02/24/2024,87509,19977,19164,2252
02/25/2024,87494,19987,19159,2241
02/26/2024,87315,19944,19106,2250
02/27/2024,87159,19875,19090,2246
02/28/2024,87082,19819,19096,2231
02/29/2024,86934,19776,19080,2219
03/01/2024,86845,19691,19086,2208
03/02/2024,86747,19696,19050,2197
03/03/2024,86802,19671,19070,2201
03/04/2024,86805,19767,19057,2179
03/05/2024,86566,19788,19033,2098
03/06/2024,86360,19736,18983,2090
03/07/2024,86184,19660,18961,2080
03/08/2024,86270,19710,18982,2071
03/08/2024,86270,19710,18982,2071
03/09/2024,86152,19782,18934,2071
03/10/2024,86198,19771,18941,2072
03/11/2024,86222,19796,18938,2080
03/13/2024,86104,19862,18877,2068
03/12/2024,86058,19788,18882,2084
03/14/2024,86088,19906,18863,2054
03/15/2024,86059,19831,18869,2054
03/16/2024,85984,19783,18865,2054
03/17/2024,86122,19867,18892,2046
03/18/2024,85834,19955,18760,2050
03/19/2024,85770,19976,18737,2049
03/20/2024,85746,19977,18735,2044
03/21/2024,85802,20020,18723,2050
03/22/2024,85653,19983,18700,2043
03/23/2024,85549,19967,18673,2046
03/24/2024,85583,19968,18691,2032
03/25/2024,85471,19985,18635,2039
03/26/2024,85333,19982,18605,2036
03/27/2024,85405,19910,18638,2038
03/28/2024,85481,19906,18670,2034
03/29/2024,85348,19887,18629,2039
03/30/2024,85323,19855,18638,2033
03/31/2024,85371,19813,18667,2032
04/01/2024,85279,19851,18634,2033
04/02/2024,85292,19902,18619,2026
04/03/2024,85361,19952,18627,2028
04/04/2024,85410,19941,18633,2029
04/05/2024,85476,19907,18663,2029
04/06/2024,85208,19730,18639,2025
04/07/2024,85271,19754,18647,2027
04/08/2024,85345,19931,18631,2004
04/09/2024,85290,19958,18600,1998
04/10/2024,85243,19975,18599,1972
04/11/2024,85189,20043,18614,1905
04/12/2024,84983,19943,18594,1886
04/13/2024,84953,19955,18585,1880
04/14/2024,84897,19887,18608,1861
04/15/2024,84818,19916,18577,1864
04/16/2024,85931,20002,18847,1857
04/17/2024,86047,20067,18857,1848
04/18/2024,86238,20160,18883,1860
04/19/2024,86085,20164,18838,1858
04/20/2024,85830,20067,18784,1858
04/21/2024,85891,20138,18780,1850
04/22/2024,85965,20209,18775,1864
04/23/2024,86051,20311,18775,1857
04/24/2024,86208,20338,18826,1858
04/25/2024,86163,20324,18824,1849
04/26/2024,86104,20273,18809,1854
04/27/2024,86183,20246,18844,1847
04/28/2024,86218,20235,18860,1845
04/29/2024,86316,20324,18865,1859
04/30/2024,86383,20393,18873,1850
05/01/2024,86457,20425,18887,1856
05/02/2024,86658,20448,18941,1861
05/03/2024,86622,20397,18949,1860
05/04/2024,86692,20391,18980,1853
05/05/2024,86760,20416,18999,1846
05/06/2024,86812,20465,19002,1847
05/07/2024,86765,20431,19006,1843
05/08/2024,86814,20417,19021,1847
05/09/2024,86858,20474,19028,1840
05/10/2024,86577,20320,19002,1837
05/11/2024,86577,20319,18999,1831
05/12/2024,86553,20231,19036,1824
05/13/2024,86463,20298,18970,1829
05/14/2024,86482,20252,18987,1850
05/15/2024,86634,20272,19030,1844
05/17/2024,86333,20213,18962,1834
05/16/2024,86479,20276,18991,1826
05/18/2024,86182,20240,18914,1826
05/19/2024,86294,20281,18934,1828
05/20/2024,86352,20318,18937,1831
05/21/2024,86411,20338,18942,1828
05/22/2024,86329,20297,18927,1834
05/23/2024,86279,20244,18925,1839
05/24/2024,86297,20245,18930,1842
05/25/2024,86231,20183,18942,1836
05/26/2024,86347,20249,18962,1839
05/27/2024,86394,20287,18977,1833
05/28/2024,86463,20387,18957,1851
05/29/2024,86432,20348,18955,1853
05/30/2024,86450,20373,18949,1856
05/31/2024,86444,20365,18943,1851
06/01/2024,86376,20303,18947,1852
06/02/2024,86387,20339,18927,1856
06/03/2024,86451,20350,18938,1866
06/04/2024,86447,20435,18927,1856
06/05/2024,86632,20465,18975,1862
06/06/2024,86636,20437,18987,1866
06/07/2024,86527,20367,18976,1861
06/08/2024,86470,20363,18979,1843
06/09/2024,86511,20333,19002,1844
06/10/2024,86714,20424,19028,1858
06/11/2024,86755,20477,19037,1850
06/12/2024,86572,20411,18998,1848
06/13/2024,86644,20373,19030,1853
06/14/2024,86711,20380,19045,1866
06/15/2024,86707,20333,19061,1878
06/16/2024,86769,20333,19084,1871
06/17/2024,86784,20379,19078,1867
06/18/2024,86671,20315,19058,1863
06/19/2024,86888,20379,19097,1862
06/20/2024,86907,20377,19106,1867
06/21/2024,86839,20295,19099,1877
06/22/2024,86878,20288,19117,1875
06/24/2024,87031,20304,19170,1872
06/23/2024,86958,20310,19144,1869
06/25/2024,87068,20257,19202,1860
06/26/2024,87016,20261,19178,1860
06/27/2024,87047,20282,19192,1859
06/28/2024,86886,20065,19201,1871
06/29/2024,86908,20069,19213,1868
06/30/2024,87036,20075,19249,1869
07/01/2024,87113,20160,19243,1877
07/02/2024,86880,19992,19213,1876
07/03/2024,86608,19940,19165,1871
07/04/2024,86469,19744,19178,1886
07/05/2024,86459,19807,19149,1890
07/06/2024,86293,19672,19142,1882
07/07/2024,86381,19684,19174,1875
07/08/2024,86568,19777,19188,1896
07/09/2024,86572,19810,19182,1889
07/10/2024,86416,19744,19153,1893
07/12/2024,86512,19761,19180,1902
07/11/2024,86494,19720,19185,1901
07/13/2024,86558,19786,19186,1901
07/14/2024,86620,19870,19185,1892
07/15/2024,86690,19932,19191,1884
07/16/2024,86837,19987,19224,1892
07/17/2024,86724,19946,19209,1894
07/18/2024,86658,19847,19217,1887
07/19/2024,86634,19822,19226,1899
07/20/2024,86679,19800,19247,1899
07/21/2024,86625,19815,19217,1903
07/22/2024,86573,19886,19184,1903
07/23/2024,86733,19951,19225,1908
07/24/2024,86776,19972,19242,1897
07/25/2024,86835,19960,19274,1893
07/26/2024,86773,19923,19262,1889
07/27/2024,86700,19816,19281,1881
07/28/2024,86818,19844,19307,1881
07/29/2024,87019,19995,19318,1885
07/30/2024,87057,19990,19324,1886
07/31/2024,87040,19970,19334,1875
08/01/2024,87064,20040,19325,1861
08/02/2024,87005,20005,19339,1854
08/03/2024,87010,19992,19358,1850
08/04/2024,87149,20053,19379,1850
08/05/2024,87274,20112,19407,1856
08/06/2024,87372,20157,19423,1862
08/07/2024,87440,20233,19420,1853
08/08/2024,87573,20327,19431,1859
08/09/2024,87518,20289,19424,1866
08/10/2024,87514,20261,19441,1860
08/11/2024,87578,20313,19445,1859
08/12/2024,87545,20328,19411,1873
08/13/2024,87492,20371,19378,1861
08/14/2024,87679,20404,19421,1869
08/15/2024,87729,20409,19439,1874
08/17/2024,87412,20344,19382,1854
08/18/2024,87501,20442,19365,1876
08/19/2024,87498,20468,19351,1874
08/20/2024,87649,20540,19389,1863
08/21/2024,87685,20504,19408,1865
08/22/2024,87715,20549,19409,1865
08/23/2024,87596,20405,19411,1869
08/24/2024,87634,20350,19437,1875
08/25/2024,87689,20454,19433,1869
08/26/2024,87683,20535,19397,1870
08/27/2024,87495,20369,19412,1867
08/28/2024,87733,20491,19442,1863
08/29/2024,87688,20483,19442,1850
08/30/2024,87754,20418,19482,1856
08/31/2024,87766,20423,19483,1854
09/01/2024,87822,20388,19514,1848
09/02/2024,87925,20463,19527,1853
09/03/2024,87950,20547,19505,1864
09/04/2024,87784,20508,19482,1852
09/05/2024,87755,20485,19483,1843
09/06/2024,87543,20435,19432,1851
09/07/2024,87591,20474,19446,1859
09/08/2024,87793,20532,19488,1866
09/09/2024,87685,20595,19440,1868
09/10/2024,87450,20444,19404,1865
09/11/2024,87554,20546,19407,1859
09/12/2024,87520,20579,19403,1858
09/13/2024,87316,20520,19357,1850
09/14/2024,87095,20320,19351,1845
09/15/2024,87323,20505,19364,1856
09/16/2024,87372,20595,19342,1861
09/17/2024,87389,20615,19342,1861
09/18/2024,87302,20601,19329,1858
09/19/2024,87344,20617,19330,1862
09/20/2024,87175,20523,19305,1866
09/21/2024,87235,20515,19334,1866
09/22/2024,87221,20582,19319,1854
09/23/2024,87237,20620,19306,1863
09/24/2024,87277,20646,19307,1864
09/25/2024,87368,20643,19341,1864
09/26/2024,87303,20679,19316,1865
09/27/2024,87239,20611,19316,1860
09/28/2024,87378,20640,19343,1876
09/29/2024,87480,20704,19369,1868
09/30/2024,87452,20740,19354,1869
10/01/2024,87433,20758,19344,1880
10/02/2024,87422,20728,19354,1871
10/03/2024,87247,20747,19287,1872
10/04/2024,87158,20633,19304,1872
10/05/2024,86749,20656,19162,1866
10/06/2024,86899,20748,19186,1862
10/07/2024,87136,20790,19235,1876
10/08/2024,87218,20871,19245,1863
10/09/2024,87301,20899,19266,1864
10/10/2024,87301,20959,19248,1865
10/11/2024,87285,20943,19244,1866
10/12/2024,87236,20944,19239,1867
10/13/2024,87206,20984,19227,1852
10/14/2024,87431,21132,19249,1862
10/15/2024,87543,21232,19246,1875
10/16/2024,87464,21290,19194,1871
10/17/2024,87340,21272,19167,1877
10/18/2024,87125,21209,19134,1867
10/19/2024,87127,21197,19129,1873
10/20/2024,87166,21227,19132,1879
10/21/2024,87167,21295,19114,1887
10/22/2024,87130,21321,19103,1871
10/23/2024,87143,21317,19114,1871
10/24/2024,87151,21349,19100,1874
10/25/2024,87136,21354,19095,1875
10/26/2024,87186,21327,19122,1870
10/27/2024,87274,21399,19116,1865
10/28/2024,87228,21458,19073,1874
10/29/2024,87224,21493,19076,1868
10/30/2024,87206,21438,19086,1883
10/31/2024,87220,21437,19096,1881
11/01/2024,87198,21371,19108,1887
11/02/2024,87021,21400,19051,1874
11/03/2024,87165,21547,19051,1878
11/04/2024,87198,21604,19047,1884
11/05/2024,87225,21557,19060,1890
11/06/2024,87309,21490,19102,1891
11/07/2024,87335,21532,19108,1884
11/09/2024,87339,21458,19140,1884
11/08/2024,87212,21451,19096,1886
11/10/2024,87460,21527,19147,1885
11/11/2024,87449,21577,19127,1882
11/12/2024,87492,21582,19140,1890
11/13/2024,87633,21574,19185,1901
11/14/2024,87669,21569,19195,1897
11/15/2024,87568,21475,19176,1905
11/16/2024,87462,21439,19157,1887
11/18/2024,87475,21474,19150,1894
11/19/2024,87526,21481,19164,1900
11/20/2024,87516,21513,19164,1902
11/21/2024,87434,21522,19139,1915
11/22/2024,87392,21538,19131,1904
11/23/2024,87397,21486,19151,1898
11/24/2024,87190,21497,19091,1890
11/25/2024,87228,21508,19102,1900
11/26/2024,87258,21502,19126,1884
11/28/2024,87414,21401,19202,1890
11/27/2024,87382,21483,19174,1871
11/29/2024,87312,21411,19176,1884
11/30/2024,87164,21454,19123,1874
12/01/2024,87322,21514,19158,1880
12/02/2024,87230,21502,19134,1882
12/03/2024,87206,21414,19160,1876
12/04/2024,87295,21519,19152,1878
12/05/2024,87226,21510,19142,1874
